""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T08g00436"	940.194530518679	1.35490101381196	0.182721215856197	7.41512695974111	1.21508350394849e-13	8.69055270475875e-12	"Yes"	"Yes"	"No"
"CaT2T01g00979"	697.524921096121	2.26822383077879	0.305940742368185	7.41393190465979	1.22608891422438e-13	8.73390595108383e-12	"Yes"	"Yes"	"No"
"CaT2T04g00517"	168.086518035849	3.53541556017013	0.476960670108857	7.41238383316436	1.24049103409563e-13	8.80100988286479e-12	"Yes"	"Yes"	"No"
"CaT2T03g00810"	486.315543644077	-1.47298654370918	0.198798409740104	-7.40944832322784	1.26825882752158e-13	8.96202417879846e-12	"Yes"	"No"	"Yes"
"CaT2T02g04160"	975.184661192843	2.04193525676422	0.275767676072542	7.40454895165842	1.31596979349503e-13	9.26212046688572e-12	"Yes"	"Yes"	"No"
"CaT2T09g01623"	81.7652107985692	4.61409840691925	0.623300849849813	7.40268268209652	1.33460403138986e-13	9.35599794386239e-12	"Yes"	"Yes"	"No"
"CaT2T01g01297"	3071.19167304727	2.00558270013383	0.27109641341605	7.39804217570328	1.38206959894605e-13	9.65045119959718e-12	"Yes"	"Yes"	"No"
"CaT2T08g00689"	3133.68584556625	3.05877337622479	0.413522835182196	7.39686691032942	1.39435172528418e-13	9.69788093656313e-12	"Yes"	"Yes"	"No"
"CaT2T10g02879"	1317.81133443243	2.54453357879666	0.344044778438185	7.39593721011475	1.40414349274519e-13	9.72768585993587e-12	"Yes"	"Yes"	"No"
"CaT2T10g00952"	692.076408582522	2.4425880254097	0.330314412524898	7.39473644743124	1.41689018237256e-13	9.77764920382566e-12	"Yes"	"Yes"	"No"
"CaT2T03g02394"	6791.72216744559	2.08142638682925	0.281624980387186	7.39077330415663	1.45977316656023e-13	1.00343785060128e-11	"Yes"	"Yes"	"No"
"CaT2T06g02961"	634.582824937759	2.60936922396648	0.354724400908489	7.35604660204822	1.89436903806174e-13	1.2971288149767e-11	"Yes"	"Yes"	"No"
"CaT2T01g00491"	142.007647328769	-1.919411354711	0.261196989563942	-7.34852020276106	2.00413178718988e-13	1.366988113996e-11	"Yes"	"No"	"Yes"
"CaT2T07g00525"	385.076271580892	2.42257062075056	0.329778921394761	7.34604446671298	2.04158480462396e-13	1.3871783522495e-11	"Yes"	"Yes"	"No"
"CaT2T04g01934"	1700.05727442368	1.80268447850058	0.245427870511045	7.34506832800578	2.05654012299932e-13	1.39198612309985e-11	"Yes"	"Yes"	"No"
