""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"significant"	"up"	"down"
"CaT2T02g03783"	937.874550590807	0.818240371439552	0.108384848010944	7.54939815348481	4.37274180358288e-14	7.67587293816762e-12	"Yes"	"No"	"No"
"CaT2T01g01452"	2278.54188131012	0.78158313085187	0.103678911184106	7.53849670994315	4.75419973697365e-14	8.27353707674889e-12	"Yes"	"No"	"No"
"CaT2T08g03169"	1907.98543792732	1.09578501910164	0.145670459189261	7.52235576931868	5.37979515135707e-14	9.28221578807223e-12	"Yes"	"Yes"	"No"
"CaT2T06g00687"	1880.16429065633	1.0449782690503	0.139120406661445	7.51132270331337	5.85329053138489e-14	1.00135911828023e-11	"Yes"	"Yes"	"No"
"CaT2T02g00527"	287.023051355774	1.5297360583299	0.204142834173298	7.49345949136425	6.70815436648284e-14	1.13796228736293e-11	"Yes"	"Yes"	"No"
"CaT2T04g01349"	1375.7691644682	1.27816376019219	0.170684629998519	7.48845259355388	6.96903496525115e-14	1.17236590702937e-11	"Yes"	"Yes"	"No"
"CaT2T03g02231"	3996.62528364582	-0.712270567354593	0.0951587684097479	-7.48507551387802	7.15060100559209e-14	1.19296845041229e-11	"Yes"	"No"	"No"
"CaT2T10g00211"	276.243875592269	1.55873560765472	0.208365115503882	7.48078968922073	7.38773251149734e-14	1.22242750991473e-11	"Yes"	"Yes"	"No"
"CaT2T08g00881"	3309.35506285723	0.695012200892491	0.0931106318211746	7.46436993604887	8.36991434471255e-14	1.37368667379441e-11	"Yes"	"No"	"No"
"CaT2T07g02524"	8750.21357793245	0.718827723449629	0.0966524035206124	7.43724622736701	1.02805821309244e-13	1.6736621893304e-11	"Yes"	"No"	"No"
"CaT2T01g04022"	4928.55642069344	-0.807503124577124	0.108699401857342	-7.42877247509513	1.09610098917738e-13	1.7701592534819e-11	"Yes"	"No"	"No"
"CaT2T10g00299"	2398.91163624527	-0.868429362004388	0.11749699009189	-7.3910775188813	1.45643672663466e-13	2.33341969845824e-11	"Yes"	"No"	"No"
"CaT2T03g00081"	7615.98862155241	1.01811795797026	0.138218213169175	7.36601880914286	1.75799029298959e-13	2.79437401925834e-11	"Yes"	"Yes"	"No"
"CaT2T02g03979"	525.801846145363	1.35634544241469	0.184165558529601	7.36481594736773	1.77391441422985e-13	2.79765705312953e-11	"Yes"	"Yes"	"No"
"CaT2T11g03406"	385.071031504774	-1.11685140936181	0.152047556093007	-7.34540848968753	2.05131636414219e-13	3.21007158472391e-11	"Yes"	"No"	"Yes"
"CaT2T09g00991"	1372.74376239305	0.837455739701678	0.114441879420784	7.3177384357914	2.52184795739111e-13	3.91604190121957e-11	"Yes"	"No"	"No"
"CaT2T03g02082"	21776.6888276358	0.684593018974973	0.0936806067889263	7.30773467893354	2.71683563989745e-13	4.18662298187861e-11	"Yes"	"No"	"No"
"CaT2T07g01931"	1242.77788025185	-1.12906740479965	0.154690174025449	-7.29889543348692	2.90139688297842e-13	4.4371590058095e-11	"Yes"	"No"	"Yes"
"CaT2T08g01992"	12905.4779274774	0.707894302759339	0.0970003852070368	7.29785042861856	2.92401418202996e-13	4.43812588666458e-11	"Yes"	"No"	"No"
"CaT2T01g01305"	4134.98088731121	-0.722660815033786	0.0991426188890865	-7.2891035473074	3.12024177350538e-13	4.70062094639948e-11	"Yes"	"No"	"No"
"CaT2T02g03682"	764.263682357997	1.13228511333861	0.155362307312723	7.28802972177463	3.14520598113468e-13	4.70313134379006e-11	"Yes"	"Yes"	"No"
"CaT2T01g00640"	3790.12929969447	0.803841197297979	0.110407990337207	7.28064331977146	3.3223201723839e-13	4.93144686175837e-11	"Yes"	"No"	"No"
"CaT2T01g00459"	420.17794265514	1.13294533932002	0.155811073467349	7.27127613017464	3.5610715847773e-13	5.24725197678098e-11	"Yes"	"Yes"	"No"
"CaT2T11g02061"	1956.91452251755	0.722033050100162	0.0993344695304062	7.2687059538698	3.62947472617266e-13	5.30929031139475e-11	"Yes"	"No"	"No"
"CaT2T06g01451"	163.59986065266	1.77695248592804	0.244523425446202	7.26700308032036	3.67550427812778e-13	5.33794279586802e-11	"Yes"	"Yes"	"No"
"CaT2T02g03816"	1339.90116915909	0.80759843215922	0.111545763998689	7.24006365825521	4.48474190342485e-13	6.46667748603125e-11	"Yes"	"No"	"No"
"CaT2T05g02037"	7252.42844021042	0.950164926636471	0.131557609304189	7.22242469790926	5.1068685077744e-13	7.31151450825829e-11	"Yes"	"No"	"No"
"CaT2T07g03030"	1097.59302133533	-1.03348478498376	0.14320992831352	-7.21657218290914	5.33143692874661e-13	7.57927586483154e-11	"Yes"	"No"	"Yes"
"CaT2T05g02859"	563.536852815408	-1.081075920287	0.150238760031508	-7.1957191343983	6.21324105181162e-13	8.77109770020427e-11	"Yes"	"No"	"Yes"
"CaT2T08g00819"	754.907591143834	-0.969717821919126	0.13483334850916	-7.19197314789857	6.38615920480477e-13	8.95259693523569e-11	"Yes"	"No"	"No"
"CaT2T08g03146"	836.99167982057	1.05586523137167	0.147143138186628	7.17576942006273	7.19016498432108e-13	1.00101972785165e-10	"Yes"	"Yes"	"No"
"CaT2T10g02559"	545.582175130522	1.29166359685789	0.180115506529762	7.17130702261026	7.42850959803501e-13	1.02711865243516e-10	"Yes"	"Yes"	"No"
"CaT2T08g02641"	1158.18671363198	-0.815903474789362	0.113845147766615	-7.16678304517627	7.67805629312204e-13	1.05440083257996e-10	"Yes"	"No"	"No"
"CaT2T10g00373"	1160.25168490949	0.896215234312955	0.125122309744159	7.16271331743691	7.9095649907979e-13	1.07885397614349e-10	"Yes"	"No"	"No"
"CaT2T07g03107"	553.821521965667	-1.06318730078269	0.14862694685799	-7.15339528435945	8.46573692012093e-13	1.14696531011061e-10	"Yes"	"No"	"Yes"
"CaT2T02g02349"	431.247802384507	1.34656240514953	0.188346459579176	7.14939058667821	8.71639906500982e-13	1.17305298616902e-10	"Yes"	"Yes"	"No"
"CaT2T12g02721"	3610.95487348471	1.16250318519142	0.162708601928869	7.14469408138374	9.01965359853406e-13	1.20582614035501e-10	"Yes"	"Yes"	"No"
"CaT2T02g00646"	2197.51463315482	-0.885904268487612	0.124111942663738	-7.13794538602811	9.47362543983208e-13	1.25818471548612e-10	"Yes"	"No"	"No"
"CaT2T03g00589"	1067.05061495614	1.03488877679437	0.145007459826345	7.13679681054826	9.55308966841769e-13	1.26044588978005e-10	"Yes"	"Yes"	"No"
"CaT2T12g02574"	2477.13651759205	0.925449457768327	0.129827993838515	7.1282735749536	1.01635618386326e-12	1.33228456387323e-10	"Yes"	"No"	"No"
